date,price,slug,question
2024-01-12 00:00:00+00:00,0.775,btc-etfs-first-week-combined-aum-between-30-60-billion,BTC ETFs first week combined AUM between $30-60 billion?
2024-01-13 00:00:00+00:00,0.49,btc-etfs-first-week-combined-aum-between-30-60-billion,BTC ETFs first week combined AUM between $30-60 billion?
2024-01-14 00:00:00+00:00,0.36,btc-etfs-first-week-combined-aum-between-30-60-billion,BTC ETFs first week combined AUM between $30-60 billion?
2024-01-15 00:00:00+00:00,0.315,btc-etfs-first-week-combined-aum-between-30-60-billion,BTC ETFs first week combined AUM between $30-60 billion?
2024-01-16 00:00:00+00:00,0.265,btc-etfs-first-week-combined-aum-between-30-60-billion,BTC ETFs first week combined AUM between $30-60 billion?
2024-01-17 00:00:00+00:00,0.17,btc-etfs-first-week-combined-aum-between-30-60-billion,BTC ETFs first week combined AUM between $30-60 billion?
2024-01-18 00:00:00+00:00,0.065,btc-etfs-first-week-combined-aum-between-30-60-billion,BTC ETFs first week combined AUM between $30-60 billion?
2024-01-19 00:00:00+00:00,0.016,btc-etfs-first-week-combined-aum-between-30-60-billion,BTC ETFs first week combined AUM between $30-60 billion?
2024-01-20 00:00:00+00:00,0.004,btc-etfs-first-week-combined-aum-between-30-60-billion,BTC ETFs first week combined AUM between $30-60 billion?
