slug,question,outcomes,volume,startDate,endDate,clobTokenIds
will-cleveland-cavaliers-be-202324-nba-champions,Will Cleveland Cavaliers be  2023-24 NBA Champions?,"[""Yes"", ""No""]",49268.111467,2024-03-20T21:56:12.379Z,2024-06-06T00:00:00Z,"[""75852604196997886209712856182081369376484835155655178973808965524607522498648"", ""67068088387140398220122393029337220249180051003530753913091588146812687839260""]"
will-indiana-pacers-be-202324-nba-champions,Will Indiana Pacers be 2023-24 NBA Champions?,"[""Yes"", ""No""]",361916.754308,2024-03-20T21:56:16.254Z,2024-06-06T00:00:00Z,"[""98444231109199206193644527791229123185326214862941121989991765766507327658298"", ""90979977505060367266527405566189785161156305191574536570324609369679189056799""]"
will-milwaukee-bucks-be-202324-nba-champions,Will Milwaukee Bucks be 2023-24 NBA Champions?,"[""Yes"", ""No""]",62443.04433,2024-03-20T21:56:20.901Z,2024-06-06T00:00:00Z,"[""89979780436893568743996624839083851550322193300642349237185641024317314062973"", ""55664246438064862229943464000430098174959275805428284305060973367350178989910""]"
will-atlanta-hawks-be-202324-nba-champions,Will Atlanta Hawks be 2023-24 NBA Champions?,"[""Yes"", ""No""]",27895.4,2024-03-20T21:56:25.914Z,2024-06-06T00:00:00Z,"[""29506572865919981216401204982283845252929556645928609363118730249845294763826"", ""2636378515379592254111994275354122963536630529910950685477547736524729961435""]"
will-miami-heat-be-202324-nba-champions,Will Miami Heat be 2023-24 NBA Champions?,"[""Yes"", ""No""]",40534.133847,2024-03-20T21:56:31.225Z,2024-06-06T00:00:00Z,"[""70324132021715871706379547561818702898968744557145865696105730118656557191055"", ""89911527185953043948621907757433347323052730999502849247258620101977270421955""]"
will-orlando-magic-be-202324-nba-champions,Will Orlando Magic be 2023-24 NBA Champions?,"[""Yes"", ""No""]",159415.49632,2024-03-20T21:56:36.623Z,2024-06-06T00:00:00Z,"[""76728735764145070241268776693958590135445814746238667993292664780277122089590"", ""72814179318076867636750858298829937625424961607552494643705425882301520779926""]"
will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?,"[""Yes"", ""No""]",577307.820116,2024-03-20T21:56:44.872Z,2024-06-06T00:00:00Z,"[""70846784379543189738553769950439417194408298778634087601432654779927747176765"", ""9800494452364071102008556124653243538327478844846914952891473439580951110150""]"
will-new-orleans-pelicans-be-202324-nba-champions,Will New Orleans Pelicans be 2023-24 NBA Champions?,"[""Yes"", ""No""]",41421.006189,2024-03-20T21:56:55.688Z,2024-06-06T00:00:00Z,"[""74213291577740884061113731864982337638456888394474195189097821084630447858402"", ""32193034615928679513590107027522840044303285300801547383371092826676008600110""]"
will-denver-nuggets-be-202324-nba-champions,Will Denver Nuggets be 2023-24 NBA Champions?,"[""Yes"", ""No""]",149695.998266,2024-03-20T21:57:05.752Z,2024-06-06T00:00:00Z,"[""11690180503334510722191512619384925170315747185883925861861271912305783141063"", ""37767797987559784010000885360686610443581503999062488832728586725491797610257""]"
will-minnesota-timberwolves-be-202324-nba-champions,Will Minnesota Timberwolves be 2023-24 NBA Champions?,"[""Yes"", ""No""]",233107.787609,2024-03-20T21:57:13.091Z,2024-06-06T00:00:00Z,"[""1836561191430238328085690818732664604099297954894270272335928729317563677219"", ""112131320110007082697464384106392923766628134835933464217837077002676942661597""]"
will-oklahoma-city-thunder-be-202324-nba-champions,Will Oklahoma City Thunder be 2023-24 NBA Champions?,"[""Yes"", ""No""]",53399.525857,2024-03-20T21:57:19.444Z,2024-06-06T00:00:00Z,"[""33991426916777479206953144323942854244635301735352695096604006241882528719855"", ""1979546723707799733176946439916324598585543828289116606520597741384116358316""]"
will-golden-state-warriors-be-202324-nba-champions,Will Golden State Warriors be 2023-24 NBA Champions?,"[""Yes"", ""No""]",38124.882856,2024-03-20T21:57:25.608Z,2024-06-06T00:00:00Z,"[""68657686408054179859486271595575851603274646561774271156737743489968230642823"", ""5842486209434778051156699905991704930475646211182492461887783528258036181902""]"
will-la-clippers-be-202324-nba-champions,Will LA Clippers be 2023-24 NBA Champions?,"[""Yes"", ""No""]",69812.831155,2024-03-20T21:57:30.857Z,2024-06-06T00:00:00Z,"[""52600257128965239146914129303733281753837099517755029816874562769461410362890"", ""97560140458552391461653867173823446647832869587999834262023503828640789048980""]"
will-los-angeles-lakers-be-202324-nba-champions,Will Los Angeles Lakers be 2023-24 NBA Champions?,"[""Yes"", ""No""]",99297.856167,2024-03-20T21:57:35.788Z,2024-06-06T00:00:00Z,"[""47440493859042926341620205708825739677998007510137496797609812266037399182465"", ""67884346412570140931842404625095314171346590636020657019670634661891960110073""]"
will-phoenix-suns-be-202324-nba-champions,Will Phoenix Suns be 2023-24 NBA Champions?,"[""Yes"", ""No""]",16995.12409,2024-03-20T21:57:41.125Z,2024-06-06T00:00:00Z,"[""7712641517438559485283997635866177224111616150508039236270200706191396827190"", ""90319626662297226943194098345420030354160154508980014777030603905295888548881""]"
will-sacramento-kings-be-202324-nba-champions,Will Sacramento Kings be 2023-24 NBA Champions?,"[""Yes"", ""No""]",16955.428888,2024-03-20T21:57:46.501Z,2024-06-06T00:00:00Z,"[""100021131770427560098909586962104708474515663050002401086275685743864343925441"", ""8006504004886240254737763227411415022695138495109412896162024483286383096069""]"
mexican-presidential-election-will-jorge-alvarez-maynez-win,Mexican Presidential Election: Will Jorge Álvarez Máynez win?,"[""Yes"", ""No""]",415551.524961,2024-01-16T22:34:01.536Z,2024-05-30T00:00:00Z,"[""469716720308130922678076573131389092624048022101691424148247635971711753086"", ""75471639258865390792081720047225185617435775155534648744044382707034505561044""]"
mexican-presidential-election-will-another-candidate-win,Mexican Presidential Election: Will another candidate win?,"[""Yes"", ""No""]",232879.553839,2024-01-16T22:34:21.483Z,2024-05-30T12:00:00Z,"[""55629335504198428453260292746561520074738690344131668274910269991166334755318"", ""61430364540004327287111317478713849233808608710129378830811590563016402206670""]"
will-tyson-fury-beat-oleksandr-usyk-in-ring-of-fire,Will Tyson Fury beat Oleksandr Usyk in Ring of Fire?,"[""Yes"", ""No""]",95948.081778,2024-01-24T19:32:00Z,2024-05-18T12:00:00Z,"[""111474460958445417652561937904999802520107909592167560657463102701833429315914"", ""94917348859186124702609497495309272372042649670825980746069905609785989970991""]"
will-oleksandr-usyk-beat-tyson-fury-in-ring-of-fire,Will Oleksandr Usyk beat Tyson Fury in Ring of Fire?,"[""Yes"", ""No""]",151516.183782,2024-01-24T19:32:00Z,2024-05-18T12:00:00Z,"[""52013202991467824318476768740283942086205292642506350045387961713478912677976"", ""20237444444124722083874239318351188418329361938510475233636681330070413391087""]"
will-ring-of-fire-have-no-official-winner,Will Ring of Fire have no official winner?,"[""Yes"", ""No""]",60090.42322,2024-01-24T19:32:00Z,2024-05-18T12:00:00Z,"[""38410012725011227647284563928133698556388593276337247543899007476881271071554"", ""73528849476104238465059977410524760531066599660368608715306059279663789308452""]"
will-joe-biden-be-president-of-the-united-states-on-june-1-2024,"Will Joe Biden be President of the United States on June 1, 2024?","[""Yes"", ""No""]",41575.824362,2024-01-30T17:54:52.923Z,2024-06-01T00:00:00Z,"[""5374317981041762623935842320405449822624615834828189963499924954370441194643"", ""90811285132325390444375317640039160138311536061079727832894012009964773223656""]"
will-copenhagen-win-the-2023-24-champions-league,Will Copenhagen win the 2023-24 Champions League?,"[""Yes"", ""No""]",26654.914443,2024-01-30T23:43:00Z,2024-05-30T00:00:00Z,"[""45486806674758266813312511652401213294775396570444810225225127588609256095475"", ""73035621522524738186707265971257044882197232246719873762470153850889407186336""]"
will-man-city-win-the-2023-24-champions-league,Will Man City win the 2023-24 Champions League?,"[""Yes"", ""No""]",62389.352956,2024-01-30T23:41:00Z,2024-05-30T00:00:00Z,"[""54244255284556962546152000245570850368080106515015405036362219290682527423479"", ""51557932235025931201907604308274179644796904480426409821588784230158107805796""]"
will-psg-win-the-2023-24-champions-league,Will PSG win the 2023-24 Champions League?,"[""Yes"", ""No""]",116248.049257,2024-01-30T23:42:00Z,2024-05-30T00:00:00Z,"[""79333345951411816314530394930098655086802115690634180085434743996150556005790"", ""22499033259239748665469338688159328012768482452504439802041609934796838648222""]"
will-real-sociedad-win-the-2023-24-champions-league,Will Real Sociedad win the 2023-24 Champions League?,"[""Yes"", ""No""]",26225.419299,2024-01-30T23:42:00Z,2024-05-30T00:00:00Z,"[""13846033439257804092983120252541208339790712811221341579216387382569665730222"", ""104598940634775861441544340012041095378784751645746456607784470598690566485378""]"
will-psv-win-the-2023-24-champions-league,Will PSV win the 2023-24 Champions League?,"[""Yes"", ""No""]",13843.834584,2024-01-30T23:43:00Z,2024-05-30T00:00:00Z,"[""98687777702718259819918905371766717746113525461686438639565470146257632267620"", ""38087276725778466566377396156459228030316699608014264033970334774379789419044""]"
will-dortmund-win-the-2023-24-champions-league,Will Dortmund win the 2023-24 Champions League?,"[""Yes"", ""No""]",188245.645205,2024-01-30T23:42:00Z,2024-05-30T00:00:00Z,"[""29003290151768215611917808145298737081730382068150874883535872799966238075812"", ""6050914109172065194331451742473079912495283897087368472034185181471044662568""]"
will-porto-win-the-2023-24-champions-league,Will Porto win the 2023-24 Champions League?,"[""Yes"", ""No""]",38206.378019,2024-01-30T23:43:00Z,2024-05-30T00:00:00Z,"[""87746051842021287154303393410706459267759488386218772055243650307821740094658"", ""81092431650765983187892765079017575604636525431631078246022767222697934668272""]"
will-arsenal-win-the-2023-24-champions-league,Will Arsenal win the 2023-24 Champions League?,"[""Yes"", ""No""]",166291.710055,2024-01-30T23:41:00Z,2024-05-30T00:00:00Z,"[""10366416681186717040503437822207578332176832715973226185457599308985632824791"", ""68760164632061915608528711918424316225509319651046823895846682262968171404389""]"
will-rb-leipzig-win-the-2023-24-champions-league,Will RB Leipzig win the 2023-24 Champions League?,"[""Yes"", ""No""]",9896.283809,2024-01-30T23:42:00Z,2024-05-30T00:00:00Z,"[""95250629801826870880683307575350705669390672805357087345874046444425382189694"", ""88449034099038616808777356723744305826171860293491580481698521061735771827988""]"
will-real-madrid-win-the-2023-24-champions-league,Will Real Madrid win the 2023-24 Champions League?,"[""Yes"", ""No""]",207108.720928,2024-01-30T23:41:00Z,2024-05-30T00:00:00Z,"[""11543701553417059003826564911803954908862589140697639339804901646937518171271"", ""40331571790501411142443765814590373952946115573383435244715770757238663551198""]"
will-lazio-win-the-2023-24-champions-league,Will Lazio win the 2023-24 Champions League?,"[""Yes"", ""No""]",99000.00999800001,2024-01-30T23:43:00Z,2024-05-30T00:00:00Z,"[""75393427063530172305395309499102949543299402363903836913782588272361707619820"", ""28746767619699174435856907893009152024582612935535845438227935950871763658015""]"
will-inter-win-the-2023-24-champions-league,Will Inter win the 2023-24 Champions League?,"[""Yes"", ""No""]",27154.627588,2024-01-30T23:42:00Z,2024-05-30T00:00:00Z,"[""100644017466172560329060435013874611607052703862301384291018685365107062899903"", ""98917461882635130077906320696361794786218513241430799828278782188206642531164""]"
will-bayern-win-the-2023-24-champions-league,Will Bayern win the 2023-24 Champions League?,"[""Yes"", ""No""]",120153.174487,2024-01-30T23:41:00Z,2024-05-30T00:00:00Z,"[""21528521791665426285757717815518541270871157925238944298021470312868454261522"", ""42348489719081111906561026810209580183716946742869333875748773794500103645889""]"
will-atletico-madrid-win-the-2023-24-champions-league,Will Atletico Madrid win the 2023-24 Champions League?,"[""Yes"", ""No""]",197994.793871,2024-01-30T23:42:00Z,2024-05-30T00:00:00Z,"[""82788082097444515444662884966998845566982261008384538299321675544893492306055"", ""57730562944471609194039574509061493327129182277627256261500894373720313135750""]"
will-napoli-win-the-2023-24-champions-league,Will Napoli win the 2023-24 Champions League?,"[""Yes"", ""No""]",67385.087229,2024-01-30T23:42:00Z,2024-05-30T00:00:00Z,"[""58011497003745118215648674355116980867604556470143188066268667010951467618564"", ""28451263298431663628927600325936389649242438059679826328906116743400700832737""]"
will-barcelona-win-the-2023-24-champions-league,Will Barcelona win the 2023-24 Champions League?,"[""Yes"", ""No""]",80980.690267,2024-01-30T23:42:00Z,2024-05-30T00:00:00Z,"[""61192365531388634213285508841143011015778497537483334230330011367513318979824"", ""75504780712393238041012487019080411103829105316663223549910060707782320839102""]"
will-ftx-payouts-start-in-q2-2024,Will FTX payouts start in Q2 2024?,"[""Yes"", ""No""]",115453.436015,2024-01-31T16:54:00Z,2024-06-28T00:00:00Z,"[""111293833876691575007076298701124074964169299602683819449994891918625930667061"", ""59137423394077299243691736945721292639545380054398688197194516437929818503752""]"
fed-rate-cut-by-june-12,Fed rate cut by June 12?,"[""Yes"", ""No""]",1253483.915707,2024-01-31T21:12:52.701Z,2024-06-12T00:00:00Z,"[""34128730855619497354555011975104698208888880731147255645941732184123082298195"", ""29360565878529101409110832981439856244546270814775692383027833639404811103632""]"
will-larry-sukernik-last-the-longest-lasting-of-the-listed-cryptothegame-participants,Will Larry Sukernik last the longest-lasting of the listed Cryptothegame participants?,"[""Yes"", ""No""]",3535.1666649999997,2024-02-03T01:36:00Z,2024-05-30T00:00:00Z,"[""68680868294232546643928141138911040630184558578819772784342981952297409887936"", ""18108161524554802655568466082519106850025113061873576810050155862112862168077""]"
will-paris-rouzati-last-the-longest-lasting-of-the-listed-cryptothegame-participants,Will Paris Rouzati last the longest-lasting of the listed Cryptothegame participants?,"[""Yes"", ""No""]",2978.526871,2024-02-03T01:36:00Z,2024-05-30T00:00:00Z,"[""37564023517509566211879157384111941483085498382109695857886696875588795276860"", ""76093784366573217736400761155380346086924649680061604123545607713576175302926""]"
will-mgiuelpf-last-the-longest-lasting-of-the-listed-cryptothegame-participants,Will mgiuelpf last the longest-lasting of the listed Cryptothegame participants?,"[""Yes"", ""No""]",3121.998988,2024-02-03T01:36:00Z,2024-05-30T00:00:00Z,"[""1065168705527229726723500572681300199917588220282680471786272428969356086774"", ""61504860942196740197305617761520430450365580367289442174896003442895290425717""]"
will-anish-agnihotri-last-the-longest-lasting-of-the-listed-cryptothegame-participants,Will Anish Agnihotri last the longest-lasting of the listed Cryptothegame participants?,"[""Yes"", ""No""]",16924.100458,2024-02-03T01:36:00Z,2024-05-30T00:00:00Z,"[""70020747492505621384044878669388944537006622559616944589667603642486730194071"", ""23739763680612681231134603874570961291566953691830592288776428047674775539004""]"
