slug,question,outcomes,volume,startDate,endDate,clobTokenIds
us-recession-in-2025,US recession in 2025?,"[""Yes"", ""No""]",11734512.428529,2025-01-08T01:33:54.924Z,2026-02-28T12:00:00Z,"['104173557214744537570424345347209544585775842950109756851652855913015295701992', '44528029102356085806317866371026691780796471200782980570839327755136990994869']"
will-gta-6-cost-100,Will GTA 6 cost $100+?,"[""Yes"", ""No""]",8069448.520812,2025-03-06T20:51:01.626726Z,2026-02-28T12:00:00Z,"['28946595841244317705636126646676849578876740730186646421280828201004700559420', '42278252558046940014991595990628759801692726198478046188873057685686228021663']"
will-the-us-collect-between-500b-and-1t-in-revenue-in-2025,Will the U.S. collect between $500b and $1t in revenue in 2025?,"[""Yes"", ""No""]",2670720.815553,2025-04-15T22:24:07.509458Z,2026-02-28T12:00:00Z,"['14642427631762357507939608294887050551300827907746951519205602696553287464979', '107108677406570769174644732556082858255108204503861334566787299375848455720534']"
will-the-us-collect-less-than-100b-in-revenue-in-2025,Will the U.S. collect less than $100b in revenue in 2025?,"[""Yes"", ""No""]",2306901.687602,2025-04-15T22:23:02.177852Z,2026-02-28T12:00:00Z,"['82901799715930045311809212542225092826839455972178920747166234033810084508110', '2067891916326150127826753884863730268931932594834881748788499812590988545417']"
will-the-us-collect-between-100b-and-200b-in-revenue-in-2025,Will the U.S. collect between $100b and $200b in revenue in 2025?,"[""Yes"", ""No""]",1736956.771538,2025-04-15T22:23:23.737338Z,2026-02-28T12:00:00Z,"['56943889421369223313864561268386407584816988844238380390936659020238520433523', '29795694034265723490033787182308468787841029434655005675103532957362215624118']"
will-tariffs-generate-250b-in-2025,Will tariffs generate >$250b in 2025?,"[""Yes"", ""No""]",1412916.482597,2025-04-15T22:17:42.099593Z,2026-02-28T12:00:00Z,"['7935869750973568991063634796432742901043529564448603464914559127943627115874', '40635745065483171354210492699079862696789237657248181561502664751201684944045']"
will-iphone-17-cost-1000-or-more,"Will iPhone 17 cost $1,000 or more? ","[""Yes"", ""No""]",1326859.185002,2025-04-08T19:34:51.658Z,2026-02-28T12:00:00Z,"['104318533792443241043987622529010971833582492186326943439864237179391386420174', '101490910324419498943088475882770438958646726698823824666989731741590719841050']"
will-the-us-collect-between-200b-and-500b-in-revenue-in-2025,Will the U.S. collect between $200b and $500b in revenue in 2025?,"[""Yes"", ""No""]",1116195.450108,2025-04-15T22:23:51.621015Z,2026-02-28T12:00:00Z,"['19180751334892649957685662514970856594118361572000181281162861811532650604260', '50221315964000194764695024582522009520159992363520263771661265416131198909217']"
will-iphone-17-cost-1500-or-more,"Will iPhone 17 cost $1,500 or more? ","[""Yes"", ""No""]",955140.464156,2025-04-08T22:09:23.107213Z,2026-02-28T12:00:00Z,"['87866870766967658396441321587621921880442240880375201390952268852059651796661', '9813886900077072427390226339062250811262999954892875580012851562200988440109']"
bitboy-convicted,BitBoy convicted?,"[""Yes"", ""No""]",836621.5937519977,2025-03-26T16:49:31.084Z,2026-03-31T12:00:00Z,"['75467129615908319583031474642658885479135630431889036121812713428992454630178', '3842963720267267286970642336860752782302644680156535061700039388405652129691']"
will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? ,"[""Yes"", ""No""]",238998.788494,2025-01-31T22:05:00.243Z,2026-02-28T12:00:00Z,"[""56738600572035832904895845056468792275697823297413384908752239327866518310010"", ""63773739594775606083258239254748928077067768053882704658119720069071630213026""]"
will-trump-win-the-2024-iowa-caucus,Will Trump win the 2024 Iowa Caucus?,"[""Yes"", ""No""]",94332.029358,2023-03-15T19:15:31.281Z,2024-02-05T00:00:00Z,"[""99797325193940650293777738007974137011774368519432515326551017491100470628467"", ""80387862900490852419047622729331661923122689291735249993941984595432716443874""]"
will-joe-biden-be-president-of-the-united-states-on-february-1-2024,"Will Joe Biden be President of the United States on February 1, 2024?","[""Yes"", ""No""]",250000.868572,2023-09-16T02:17:53.302Z,2024-02-01T00:00:00Z,"[""2640288220871975104014777201590982690518915343516812136046668101954677305223"", ""75219943957563045073987110590543044282977113598950136200092635769299346563727""]"
will-aaron-rodgers-play-again-this-season,Will Aaron Rodgers play again this season?,"[""Yes"", ""No""]",4757.232796,2023-09-21T20:57:38.839Z,2024-02-11T00:00:00Z,"[""77408717769992449843820200854917243296532085702934938467819321939898311730509"", ""95425649319830887325107904151938248887542434708091305238126332864512723269009""]"
will-james-harden-be-traded,Will James Harden be traded?,"[""Yes"", ""No""]",1774.798045,2023-10-04T21:47:17.643Z,2024-02-08T00:00:00Z,"[""82130668509038577308082042324933324928255672581436911232621294172112248449519"", ""93081649513008189600268458328553391383858150225143933606107673106845895628299""]"
will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?","[""Yes"", ""No""]",116794.762702,2023-10-12T16:43:31.547Z,2024-01-31T00:00:00Z,"[""54381191852657597827178784272196264743763950412202446487750968931721843279899"", ""84283308108427137146819131238489422272331767498690240705638089380807598159033""]"
will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?,"[""Yes"", ""No""]",40732.421523,2023-10-19T22:47:37.477Z,2024-01-14T00:00:00Z,"[""81386791136888583530879002460846528394667340042799462296372649822948253216815"", ""44643353258030408953813726580370114350318645368292390534786808974316423727563""]"
will-saudi-arabia-accept-invitation-to-join-brics,Will Saudi Arabia accept invitation to join BRICS?,"[""Yes"", ""No""]",42686.89008,2023-10-19T20:54:58.412Z,2024-01-01T00:00:00Z,"[""13513812970423087654014136949302473995138781189202092937376030354457238631211"", ""4925289913192823327216842718641628247438531030911533969956388430493084664712""]"
will-saudi-arabia-boost-oil-production-in-q4,Will Saudi Arabia boost oil production in Q4?,"[""Yes"", ""No""]",20509.212682999998,2023-10-19T21:47:57.799Z,2024-01-17T00:00:00Z,"[""1670057878925585717745503711657769024832907450721315318649688002284648992887"", ""44813375637840789576383827924256722010768623527681070854884964210230219678305""]"
will-salah-join-a-saudi-club-next-transfer-window,Will Salah join a Saudi club next transfer window?,"[""Yes"", ""No""]",7006.724953000001,2023-10-19T21:48:19.416Z,2024-01-31T00:00:00Z,"[""70902458640515070354214854353586830445846469936673462241774480096626582095282"", ""108883049893920897439905991219925221874862700724785168256552462728016306982985""]"
taiwan-presidential-election-will-lai-ching-te-win,Taiwan Presidential Election: Will Lai Ching-te win?,"[""Yes"", ""No""]",1809553.5800319999,2023-10-26T20:52:11.046Z,2024-01-13T00:00:00Z,"[""98661966997180731633724374647350607356911249168444258623641162003303747464415"", ""102604859095929817649896594364961970618698126846920815684318285776013759046460""]"
indonesia-election-prabowo-subianto-wins,Indonesia Election: Prabowo Subianto wins?,"[""Yes"", ""No""]",270567.594029,2023-10-30T22:11:23.343Z,2024-02-14T00:00:00Z,"[""66651618349280287395011359675694493335697633101128242602626566793238495329822"", ""21152202424254932405802593441974300232853229502375005164450727189988270543831""]"
will-swift-kelce-break-up-by-end-of-nfl-season,Will Swift + Kelce break up by end of NFL season?,"[""Yes"", ""No""]",8388.809349,2023-10-30T22:07:26.501Z,2024-01-07T00:00:00Z,"[""90480495356011570015613895482966707325409989956506131502803068563103496491140"", ""60563272998395395413903951060908297672116895469835391555029603066948441617797""]"
ilya-still-at-openai-on-jan-1,Ilya still at OpenAI on Jan 1?,"[""Yes"", ""No""]",49351.993319999994,2023-11-18T06:37:03.96Z,2024-01-01T00:00:00Z,"[""42635928877391811947563392164032022698721006383568306471595362188894006988125"", ""36152156736262576517377409900009196204888892372633986273430570919918327252312""]"
will-the-blast-bridge-be-exploited-by-end-of-february,Will the Blast bridge be exploited by end of February?,"[""Yes"", ""No""]",161523.23640599998,2023-11-24T18:18:29.66Z,2024-02-28T00:00:00Z,"[""32496282642773945256849175588278538109923985064895607285941411670518842593177"", ""60585683954460134349542197001392211000234312469025802981068657615069931289969""]"
respiratory-illness-surge-in-china-declared-a-global-pandemic-by-feb-1,Respiratory illness surge in China declared a global pandemic by Feb 1?,"[""Yes"", ""No""]",14394.401225,2023-11-25T19:06:29.761Z,2024-02-01T00:00:00Z,"[""90547208233327004011017903874113846425840566844019960149710767999069696744706"", ""89665211824441684940036882246467382301702811523892802245628508787298147439705""]"
taiwan-presidential-election-will-hou-yu-ih-win,Taiwan Presidential Election: Will Hou Yu-ih win?,"[""Yes"", ""No""]",620031.711163,2023-11-28T16:17:44.155Z,2024-01-13T00:00:00Z,"[""10841546281874468901630677171228835388138482179165442238381702586654083380626"", ""28128267235811951602739386802594743486082990541802310956204548141999518582072""]"
taiwan-presidential-election-will-ko-wen-je-win,Taiwan Presidential Election: Will Ko Wen-je win?,"[""Yes"", ""No""]",1356952.124012,2023-11-28T16:17:44.153Z,2024-01-13T00:00:00Z,"[""89624771373613946647965495837296827477253864231768880615293304214785104026833"", ""80113082277751206069651919258603949325416407205034656804551579692845543370513""]"
bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?,"[""Yes"", ""No""]",12622418.419238001,2023-12-01T18:55:30.006Z,2024-01-15T00:00:00Z,"[""98787006152320761811798607481686168525551752574583108841982899511109091268658"", ""12378428024728849934843560840433868979543695535836715150168659304994480706119""]"
will-milady-flip-mayc-by-march-1,Will Milady flip MAYC by March 1?,"[""Yes"", ""No""]",17762.664317000002,2023-12-01T22:08:06.486Z,2024-03-01T00:00:00Z,"[""25405524847812631687293337185505101811384624584462189460710343063277338197588"", ""81380987107676331823830250529292118405265332277147170130370498467187760136033""]"
will-opensea-announce-bankruptcy-by-march-1,Will OpenSea announce bankruptcy by March 1?,"[""Yes"", ""No""]",7930.874124999999,2023-12-02T03:17:57.97Z,2024-03-01T00:00:00Z,"[""43215691250281030981686459541206209768049607563473138565234521213363502967484"", ""31825932957738174715670676323062609731409555757677175121568830181787114880374""]"
new-lockdown-in-us,New lockdown in US?,"[""Yes"", ""No""]",2935.322161,2023-12-04T17:43:10.747Z,2024-01-31T00:00:00Z,"[""11712838358038169524069197107184141104086451078371215888924449177410436689887"", ""50840321043849281719225687661565381907609916443371254545943121910196266243838""]"
will-qatar-buy-bitcoin-by-jan-31,Will Qatar buy Bitcoin by Jan 31?,"[""Yes"", ""No""]",2976.1461769999996,2023-12-04T19:22:50.966Z,2024-01-31T00:00:00Z,"[""67090866864312236883863499516535821925528026457560930381114876335237634000108"", ""692577082376264678493535781371658573682122386847934263022067150338546899263""]"
will-conor-mcgregor-announce-presidential-run-by-feb-29,Will Conor McGregor announce presidential run by Feb 29?,"[""Yes"", ""No""]",13728.193713,2023-12-04T21:54:38.174Z,2024-02-29T00:00:00Z,"[""36240211411352009531266936233764086763183155162960949169593470329617205555854"", ""48450187643771309824756926487161973835258429515625055221535028861010457988081""]"
will-dpp-win-a-majority-in-the-2024-taiwanese-general-election,Will DPP (民進黨) win a majority in the 2024 Taiwanese General Election?,"[""Yes"", ""No""]",36884.27063,2023-12-05T19:45:25.471Z,2024-01-13T00:00:00Z,"[""88738395694969043085039668997961705691721351427427228171470921669684650489215"", ""99361845473717131502362267098304359460057204355570946841038526223762781977652""]"
will-venezuela-invade-guyana-before-february,Will Venezuela invade Guyana before February?,"[""Yes"", ""No""]",23276.616198,2023-12-05T21:03:50.821Z,2024-01-31T00:00:00Z,"[""54192989021553769482734621085629933163068041544948494561685968721651058814465"", ""36556651152879767124201602510521751524157598478231400821326942722875133935943""]"
will-any-republican-congressman-come-out-as-gay-before-march,Will any Republican congressman come out as gay before March?,"[""Yes"", ""No""]",38733.934098,2023-12-05T21:11:05.525Z,2024-03-01T00:00:00Z,"[""4587205335788483157395872977071805392243487696723767914742978995039793053897"", ""92341164562384660666846832454667584038326972607808831934622225054071235386518""]"
gemini-ultra-released-by-jan-31,Gemini Ultra released by Jan 31?,"[""Yes"", ""No""]",8946.123999,2023-12-06T19:55:08.409Z,2024-01-31T00:00:00Z,"[""47362480575406549110347213096466428713748142061677933695791063787778249302640"", ""114959628790529950133070313396758614995774127883422021805448172123109142334672""]"
will-the-doomsday-clock-move-closer-to-midnight-in-2024,Will the Doomsday Clock move closer to Midnight in 2024?,"[""Yes"", ""No""]",19127.891347,2023-12-06T23:18:26.266Z,2024-01-31T00:00:00Z,"[""70688797456886570487474885187312530961967087320238739580620106323937722175258"", ""73929725798392314426834337359892208722077066539398263712511529865976066634088""]"
will-shohei-ohtani-sign-with-blue-jays,Will Shohei Ohtani sign with Blue Jays?,"[""Yes"", ""No""]",43953.492048,2023-12-08T16:25:33.423Z,2024-01-12T00:00:00Z,"[""61761798129371807423954026359300763029142824680776410496462198091283804255774"", ""35249629432597525805931887941265675107574351976884170545265298799550499996617""]"
pudgy-penguins-airdrop-before-march,Pudgy Penguins airdrop before March?,"[""Yes"", ""No""]",11998.784614,2023-12-08T16:35:24.256Z,2024-02-29T00:00:00Z,"[""75806044128260160265893169416567998616705117917268234803712691362343670567207"", ""113517911133652240842125563346218855605483784278268480753732856562557731071247""]"
taylor-swift-pregnant-before-march,Taylor Swift pregnant before March?,"[""Yes"", ""No""]",32310.116243999997,2023-12-08T16:42:59.261Z,2024-02-29T00:00:00Z,"[""66338065125289010679818747251775597442978401111018843454480621586909291293003"", ""6985510606841760580241089947468225374079821370267315698767745142290201081917""]"
will-hamas-surrender-before-february,Will Hamas surrender before February?,"[""Yes"", ""No""]",38651.347089999996,2023-12-08T21:17:34.417Z,2024-01-31T00:00:00Z,"[""32329987210654851949700677909514413916616813863769652781017793224431298822710"", ""22795976911284761969634076718172743510632153602600087108354641809719872732168""]"
will-the-fed-raise-interest-rates-by-0-bps-after-its-january-meeting,Will the Fed raise interest rates by 0 bps after its January meeting?,"[""Yes"", ""No""]",11073.89907,2023-12-08T22:27:55.831Z,2024-01-31T00:00:00Z,"[""59161453739548749506626935916785382180160388335096779498212302359864194982839"", ""73186635410246392857006846302471547746435727607292452979995753918323557387952""]"
will-the-fed-raise-interest-rates-by-25-bps-after-its-january-meeting,Will the Fed raise interest rates by 25 bps after its January meeting?,"[""Yes"", ""No""]",13148.333332,2023-12-08T22:27:55.83Z,2024-01-31T00:00:00Z,"[""51882881036400115365960749695803801468287449607744554859820244759346785471919"", ""52523979217315432752683627714507510844376099776707024236171901768544983513386""]"
will-the-fed-decrease-interest-rates-by-25-bps-after-its-january-meeting,Will the Fed decrease interest rates by 25 bps after its January meeting?,"[""Yes"", ""No""]",58887.595421000005,2023-12-08T22:27:55.824Z,2024-01-31T00:00:00Z,"[""7456327969315783330931352336688009175553298805923726402105094902683565728372"", ""61261108154188554068415889997843548833290904163268333664707838611169937840545""]"
will-logan-paul-refund-cryptozoo-investors-by-jan-31,Will Logan Paul refund CryptoZoo investors by Jan 31?,"[""Yes"", ""No""]",6039.473483,2023-12-08T22:05:15.776Z,2024-01-31T00:00:00Z,"[""70604337199118943717386309076749142604420434077259452195314459264492437197464"", ""105163139155280185901114157845336631368975615499041639132835496242882839195527""]"
all-3-university-presidents-who-testified-on-antisemitism-out-by-jan-31,All 3 University Presidents who testified on antisemitism out by Jan 31?,"[""Yes"", ""No""]",70542.156823,2023-12-10T19:37:07.35Z,2024-01-31T00:00:00Z,"[""38738113010865815933244085640415485058429086665776830321768989952348305035948"", ""47657457184748507214755790106251174930185187708020180852603988844759140949053""]"
marginfi-airdrop-by-march-1,marginfi airdrop by March 1?,"[""Yes"", ""No""]",10923.982827,2023-12-11T19:06:23.603Z,2024-02-29T00:00:00Z,"[""81617506025253249239348742964953388723521878818881267756659272248545357646396"", ""89019589235900118185730656186252846563075660770513312003669507772000349741069""]"
drift-airdrop-by-march-1,Drift airdrop by March 1?,"[""Yes"", ""No""]",23557.015863,2023-12-11T18:29:00Z,2024-02-27T00:00:00Z,"[""103983860474641013730780928773632759917531072693835655013073631940197200302554"", ""103959048537528824621988871712563418037064529405819773265132587138276752097419""]"
will-taylor-swift-and-travis-kelce-break-up-by-march-1,Will Taylor Swift and Travis Kelce break up by March 1?,"[""Yes"", ""No""]",4804.33385,2023-12-11T17:16:45.133Z,2024-03-01T00:00:00Z,"[""69143331906471561829178784202573634924174387755018911918965894236118565675704"", ""68203895957251394541000630101079664881969831300848388091740389077113787939141""]"
another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?,"[""Yes"", ""No""]",5778.602388,2023-12-11T19:31:54.405Z,2024-03-01T00:00:00Z,"[""85514924095431616732148339430652519784147270710051067165920940945804403118374"", ""24531555892949776466448729687996998326035401088814909387925163739455628087750""]"
kamino-airdrop-by-march-1,Kamino airdrop by March 1?,"[""Yes"", ""No""]",13768.664763,2023-12-11T19:06:28.241Z,2024-02-29T00:00:00Z,"[""47716445352269588395861477913133639533181634737552549305257789057221139836118"", ""18656571297616535995417435732007622846268704806822118209131381536679630154117""]"
tensor-airdrop-by-march-1,Tensor airdrop by March 1?,"[""Yes"", ""No""]",25674.224986999998,2023-12-11T19:06:33.298Z,2024-02-29T00:00:00Z,"[""46811216852864379095673903114389530986535870254655814615489712694821979165945"", ""75423331464257942920316370610833392948157570890253844861077239079105014191896""]"
wormhole-airdrop-by-march-1,Wormhole airdrop by March 1?,"[""Yes"", ""No""]",12891.30111,2023-12-11T19:06:39.273Z,2024-02-29T00:00:00Z,"[""17213523776031483699867763938250023217917331021527506235625419853195493706219"", ""40766133386121771007404008848669036221689990053159914943360634565733889588004""]"
saga-airdrop-by-march-1,Saga airdrop By March 1?,"[""Yes"", ""No""]",3165.637533,2023-12-12T18:29:17.059Z,2024-03-01T00:00:00Z,"[""68524629915428206217940438831809590527476697960562870998763300515849655657695"", ""28908449295307487021069776883862079356415681939917221851819390643358209736651""]"
arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?,"[""Yes"", ""No""]",12561.361648999999,2023-12-12T00:37:25.756Z,2024-01-31T00:00:00Z,"[""77727600842154138325991643325242476148458071921366439727396378201439396087446"", ""59538047284492958991976882575556664341926800706411517311987712038703814828357""]"
will-brock-purdy-win-nfl-mvp-for-the-2023-24-season,Will Brock Purdy win NFL MVP for the 2023-24 season?,"[""Yes"", ""No""]",4022.230388,2023-12-12T00:24:52.744Z,2024-02-09T00:00:00Z,"[""109494722575489160460055990718999655307778137015928194131636859496258214111563"", ""108957036456121972617149413846238945471406312665118621538084705095886912357311""]"
will-dak-prescott-win-nfl-mvp-for-the-2023-24-season,Will Dak Prescott win NFL MVP for the 2023-24 season?,"[""Yes"", ""No""]",3658.148584,2023-12-12T00:24:52.748Z,2024-02-09T00:00:00Z,"[""72555043212342724519813515542886164305272759494161000889581022357164989665267"", ""50902717590238616789054661976118740328863788273961839977084902897825234533526""]"
ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?,"[""Yes"", ""No""]",15661.29688,2023-01-03T18:06:02.364Z,2024-01-31T00:00:00Z,"[""12782983118910061685573738825553243360681848852196091132638716551032560718404"", ""108525570611708634373029183409975325256496609377659931587037381639022304900581""]"
starlink-available-in-gaza-by-jan-31,Starlink available in Gaza by Jan 31?,"[""Yes"", ""No""]",7531.61591,2023-12-12T18:56:02.808Z,2024-01-31T00:00:00Z,"[""96752666059063557678809219737299612682240348598930062757041659134699272907914"", ""62581903372891235819986449136310834646497143169285826791251434236521915212192""]"
us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?,"[""Yes"", ""No""]",28545.561724,2023-12-12T19:13:59.758Z,2024-01-11T00:00:00Z,"[""52729239680134382145529699840145268299831690452697055294507799842917120910180"", ""87467427536965806666218239589970101254619895821303513749749222308390497640820""]"
rabby-airdrop-by-march-1,Rabby airdrop by March 1?,"[""Yes"", ""No""]",4139.4923,2023-12-13T18:03:16.491Z,2024-03-01T00:00:00Z,"[""49679136577645830894421238585332298342381975390152617669297107432432805287934"", ""8434925062036273262029306614040059596358015369995270808514826370889742667379""]"
rainbow-airdrop-by-march-1,Rainbow airdrop by March 1?,"[""Yes"", ""No""]",7272.788726000001,2023-12-12T23:53:23.289Z,2024-03-01T00:00:00Z,"[""111191071359163789755242381630135413736445821485237099616532817896272661460908"", ""88836797421699247675229138876405436644465778797140938654106796536271652473724""]"
mohamed-deif-still-in-hamas-leadership-through-march-1,Mohamed Deif still in Hamas leadership through March 1?,"[""Yes"", ""No""]",17313.0989,2023-12-13T17:53:56.729Z,2024-03-01T00:00:00Z,"[""79327863599930090579306180560207744254445988311960905937118165681931463286520"", ""84585199463852419772172610309091525528376009043557564535177618051226196720745""]"
another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?,"[""Yes"", ""No""]",123245.32978999999,2023-12-13T17:56:38.675Z,2024-01-31T00:00:00Z,"[""101852323921677207905067043654167707234232928180656486374021705662478850203001"", ""23087056375818482873769361664776493257891851095418633624986723128868032451113""]"
will-hamas-release-any-more-hostages-by-jan-15,Will Hamas release any more hostages by Jan 15?,"[""Yes"", ""No""]",36146.716061,2023-12-13T17:59:02.699Z,2024-01-15T00:00:00Z,"[""50459470381656162000454691247920927581810985796849183922896166896454837322935"", ""85669760565122561364559960149515164085966495394879794808567654738026985210559""]"
us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?,"[""Yes"", ""No""]",49269.220344999994,2023-12-13T20:14:26.65Z,2024-01-31T00:00:00Z,"[""80839680109578810332750329865235758615492036336199113963917566725065475404701"", ""31446461145099244312322174363643981388695246174949451082427553475682577625072""]"
will-haley-win-the-iowa-caucus,Will Haley win the Iowa Caucus?,"[""Yes"", ""No""]",10040.212322,2023-12-13T20:11:40.033Z,2024-01-15T00:00:00Z,"[""11098165251548220836206849330319872627785507203131079700219826653355395109035"", ""23995007853974867359731041099460659907532924579994259280904149706894210166352""]"
haniyeh-still-in-hamas-leadership-through-march-1,Haniyeh still in Hamas leadership through March 1?,"[""Yes"", ""No""]",9836.571377,2023-12-13T20:09:22.144Z,2024-03-01T00:00:00Z,"[""305424395609150164535714349391600968811188306797446691319616658500243434738"", ""78258562135734150884575665017833642618402289514430961639048723791779568665796""]"
yahya-sinwar-still-hamas-leader-through-march-1,Yahya Sinwar still Hamas leader through March 1?,"[""Yes"", ""No""]",16838.348823,2023-12-13T20:07:44.226Z,2024-03-01T00:00:00Z,"[""48874541871712881693737491368953672750832054866678081999235258380277585395701"", ""41341702028904543713137166888603607942001149690413725726463268719984246556578""]"
another-ledger-exploit-by-jan-31,Another Ledger exploit by Jan 31?,"[""Yes"", ""No""]",2444.544613,2023-12-14T17:36:59.127Z,2024-01-31T00:00:00Z,"[""65694544410000185506429082317610755250195507837509538240573521771191384802661"", ""85521564053104427620160816714069486184807132306897118830836717230761718572407""]"
coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?,"[""Yes"", ""No""]",16075.38227,2023-12-28T17:47:54.262Z,2024-01-31T00:00:00Z,"[""94699295085535267114057123856710022596960614288523321377348998583579742979075"", ""20263582437642820925686209754321820394744019747911900360839195964342012268111""]"
will-sweden-join-nato-by-january-31,Will Sweden join NATO by January 31?,"[""Yes"", ""No""]",44563.582994,2023-12-18T18:51:44.641Z,2024-01-31T00:00:00Z,"[""16016746062774617132921262485874345117466164487628071170343771267392172484631"", ""43839432139859724177406554778941373859812083566066006124273350711994715023018""]"
confederate-memorial-at-arlington-cemetery-removed-by-jan-1,Confederate Memorial at Arlington Cemetery removed by Jan 1?,"[""Yes"", ""No""]",9102.566164,2023-12-19T18:56:16.97Z,2024-01-01T00:00:00Z,"[""97942203423079633873920667362934644762636944359440352844202686246720550477"", ""82528765438503327455595829543154592958055366639288993877746930803853156177626""]"
epstein-documents-unsealed-by-jan-31,Epstein documents unsealed by Jan 31?,"[""Yes"", ""No""]",5003.993579,2023-12-19T19:51:09.157Z,2024-01-31T00:00:00Z,"[""82777672335485224743087250022802919424079124207669120475056112662306726498092"", ""1391582378081651992149197770238028898811819924592296614467651535110050914039""]"
will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?,"[""Yes"", ""No""]",85276.738916,2023-12-20T01:53:15.268Z,2024-01-31T00:00:00Z,"[""98054935902933854203541114472015105919513791871664323994589238654804413994455"", ""76870651751342994164520311793528926549771140659438942427606917180095668566270""]"
will-trump-be-speaker-by-mar-1,Will Trump be Speaker by Mar 1?,"[""Yes"", ""No""]",94761.79257,2023-12-20T18:56:44.835Z,2024-03-01T00:00:00Z,"[""88401378573929359698154076664685597526486636646066518780661072942311023884392"", ""113723308419368826533150315077332585710669435977518255896249228694934552525081""]"
do-kwon-extradited-before-march,Do Kwon extradited before March?,"[""Yes"", ""No""]",9076.055319,2023-12-20T19:31:09.53Z,2024-02-29T00:00:00Z,"[""6971766248487296356596084686458087950664835369297952869673113395600334318936"", ""62536686696438862156405642479144529215869334716307487555252732112100851954482""]"
will-the-epstein-documents-name-bill-clinton,Will the Epstein documents name Bill Clinton?,"[""Yes"", ""No""]",2160.39098,2023-12-20T19:56:59.125Z,2024-02-29T00:00:00Z,"[""13671662304248637524724419046875791576529085423693429205393708507759522307490"", ""54320760229560804703274982901550773537231552275249617671786734188139711297473""]"
will-the-epstein-documents-name-any-sitting-us-congressman,Will the Epstein documents name any sitting US congressman?,"[""Yes"", ""No""]",10606.959658,2023-12-20T19:56:59.487Z,2024-02-29T00:00:00Z,"[""16611091586313871240492190975497187236887380923974937519353231960189080594854"", ""8054792047448709446995268070210665698287335310782570557442865787600433565750""]"
will-the-epstein-documents-name-donald-trump,Will the Epstein documents name Donald Trump?,"[""Yes"", ""No""]",6347.241069,2023-12-20T19:56:59.849Z,2024-02-29T00:00:00Z,"[""31189301857116429841337927696506374507144709517993953056917131616153474366398"", ""4977515744548070758008544947091183789138586637293488310046865829603324252269""]"
will-the-epstein-documents-name-prince-andrew,Will the Epstein documents name Prince Andrew?,"[""Yes"", ""No""]",4728.446190000001,2023-12-20T19:56:59.119Z,2024-02-29T00:00:00Z,"[""104936682571023520996988191158646831641598238891821435714247003819327198281094"", ""18386790078053812473313819592134721088292997973725994375057934551094004035908""]"
will-the-epstein-documents-name-piers-morgan,Will the Epstein documents name Piers Morgan?,"[""Yes"", ""No""]",3421.1476169999996,2023-12-20T19:56:59.074Z,2024-02-29T00:00:00Z,"[""54776810230312493530934363358441470006414383392869741786758948023619881785347"", ""111649848873578215523608996659507863217874875228690831948441093459406502583755""]"
will-the-epstein-documents-name-bill-gates,Will the Epstein documents name Bill Gates?,"[""Yes"", ""No""]",25268.943269,2023-12-20T19:56:59.123Z,2024-02-29T00:00:00Z,"[""20410059042469001417749848590056282260616541795135147380914850480619216147459"", ""13354839453610556521885562872673049340333345733452241077623660362586880983348""]"
will-the-epstein-documents-name-elon-musk,Will the Epstein documents name Elon Musk?,"[""Yes"", ""No""]",14125.669299,2023-12-20T19:56:59.076Z,2024-02-29T00:00:00Z,"[""61143575252203791560330719920560298594324600198277444610964505448015655388138"", ""106204905344776333268802294297334747549447827394157038393778665332599574424071""]"
will-joe-bidens-538-approval-rating-be-less-than-38pt5-on-january-7,Will Joe Biden's 538 approval rating be less than 38.5% on January 7?,"[""Yes"", ""No""]",3109.703377,2023-12-22T00:23:00Z,2024-01-07T00:00:00Z,"[""18132447198681359300209216086924453406212896675400551007375710244252548858987"", ""36303382457924206929247203094469119739587145456389518781242957918243401683340""]"
will-joe-bidens-538-approval-rating-be-between-38pt5-39pt0-on-january-7,Will Joe Biden's 538 approval rating be between 38.5-39.0% on January 7?,"[""Yes"", ""No""]",2209.001928,2023-12-22T00:24:00Z,2024-01-07T00:00:00Z,"[""50315837024432334213827041057729556211989649223066002327303150792784314280840"", ""4841770851574301780229408932922708519275337353676362583075713379983444607428""]"
